info,link
"Cayo Coffee Roasters - 9 Rue du Chevaleret, 75013, Paris - Cuisine du monde",[Link](https://www.thefork.fr/restaurant/cayo-coffee-roasters-r750038)
"Pâtes Thaï - Place d'italie - 6 Rue Primatice, 75013, Paris - Thaïlandais",[Link](https://www.thefork.fr/restaurant/pates-thai-place-d-italie-r800144)
"O Mexico - 20, rue du père Guérin, 75013, Paris - Mexicain",[Link](https://www.thefork.fr/restaurant/o-mexico-r56418)
"Restaurant Elephant - 137 Bd de l'Hôpital, 75013, Paris - Thaïlandais",[Link](https://www.thefork.fr/restaurant/restaurant-elephant-r822787)
"Le Royal Fondue - 98 Av. de Choisy, 75013, Paris - Chinois",[Le Royal Fondue](https://www.thefork.fr/restaurant/le-royal-fondue-r800825)
"Auberge Etchegorry - 41, rue Croulebarbe, 75013, Paris - Sud-Ouest",[Auberge Etchegorry](https://www.thefork.fr/restaurant/auberge-etchegorry-r210)
"EL cucho - 105 Rue de Tolbiac, 75013, Paris - Colombien",[EL cucho](https://www.thefork.fr/restaurant/el-cucho-r820495)
"Pho Indochine - 31 Rue Nationale, 75013, Paris - Vietnamien",[Pho Indochine](https://www.thefork.fr/restaurant/pho-indochine-r750322)
"Saveurs d'Himalaya - 22 Rue Boussingault, 75013, Paris - Indien",[Saveurs d'Himalaya](https://www.thefork.fr/restaurant/saveurs-d-himalaya-r379423)
"Sangeet - 64 Rue de la Glacière, 75013, Paris - Indien",[Sangeet](https://www.thefork.fr/restaurant/sangeet-r314719)
"La Ménagerie - 90 Bd de l'Hôpital, 75013, Paris - Français",[La Ménagerie](https://www.thefork.fr/restaurant/la-menagerie-r823781)
"Yuman - 70 Rue du Chevaleret, 75013, Paris - Européen",[Yuman](https://www.thefork.fr/restaurant/yuman-r654325)
"N+1 - 151 Rue du Chevaleret, 75013, Paris - Français",[N+1](https://www.thefork.fr/restaurant/n1-r668711)
"Le Phénix 御华园 - 29 Rue de Campo-Formio, 75013, Paris - Chinois",[Le Phénix 御华园](https://www.thefork.fr/restaurant/le-phenix-r587189)
"L'atelier Saisonnier Paris 13 - 55 Rue de Tolbiac, 75013, Paris - Français",[L'atelier Saisonnier Paris 13](https://www.thefork.fr/restaurant/l-atelier-saisonnier-paris-13-r803845)
"Ti Amo - Place d'Italie - 55 Rue de Tolbiac, 75013, Paris - Italian",[Link](https://www.thefork.fr/restaurant/ti-amo-place-d-italie-r697587)
"Brasserie L'Avenue - 27 Boulevard Auguste Blanqui, 75013, Paris - French",[Link](https://www.thefork.fr/restaurant/brasserie-l-avenue-r811904)
